Block: 2188
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentCode DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
104003 2188 2026-07-24T03:44:35.520Z 2026-07-24T03:44:34.220Z efbba9b410d593398fb294d442edbbcd66659f28bd1a579f19b3925c34d845e2 92d21dcb28f5e6927c9b4fcdf56871100ada2c171050499172e3b4a2dcbb2739 cdb2febb2d9102065d40971f794f152fe3259dad5ea1e9c761ca73be025e1300 94d8e3e0ce02770b501ebe6b77df2cf92b6dc37f336b30776247d55949561208 edf84ed5ac2c4a0325e284d94ef092d885425a5cedc6e7a039b32c551fb147e7 SIG NEG 2 03697f56fad41486b4450d56b974b10e7ac688c319a35d251e7fe9ab7bebfe2003 02d007a0dfa205255e59d306b9905a146514fc3d23ca742493b2d0401e3e6fa791 2+RlrnzCH3ziHKMjDDkWyq874H+bRs6hBnXrCimIn6r7vkuWHBQzrnrxVxWngfVlvxRqgSvKUQmJHmLSERiBgg== 94d8e3e0ce02770b501ebe6b77df2cf92b6dc37f336b30776247d55949561208 IEASkN3q3ZQTmh4pQOtqq/oI3Q2zo/3Lq+M1oDGpzQFPTuonvYPmbTvdhINMnwNL3uzqiaqc+b9pMQtd5NWjLQ== 1GFq2mBBVUv/RibVaD99f3KFAQyvXOXAq3Wykl9p/xDq3c4VNXt0tO3ZBw6cP9Xq+d1p8FmI3DlZqeYAIN9iYA== /NmRCQEwbwYHsSnFHYveBa+AWlP7AAc4prNHRRNPf3ihVZqSVbQQtu/7HredtbNHfvWwR95knHyFXur22d2X+Q==
104004 2188 2026-07-24T03:44:42.283Z 2026-07-24T03:44:41.812Z 7ae33ab1a2b7f685da846b63b6e9299818bf2be088a5238a9bd9656dc68e562b 7ae33ab1a2b7f685da846b63b6e9299818bf2be088a5238a9bd9656dc68e562b 7ae33ab1a2b7f685da846b63b6e9299818bf2be088a5238a9bd9656dc68e562b 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 0202433e8e17e288a5a1cb12847b41c834bb60ee60bf5036d555f2b08ee77e3c8b 02efe6d0b7ad2a17ff2f59c52e36b9427acfd126ccc5b94c80bef53594e028f11e QfxsHaUceBlfez3foLgjt7GoNzNu4uM1TktCx0LsbjfXWPNStlGeIRmoZqOD+6x+BFSVf1P+W0HzbiX1Mx+qAw== 7ae33ab1a2b7f685da846b63b6e9299818bf2be088a5238a9bd9656dc68e562b 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 X5Vxp4/M8PYePpsBHATH11rS0q4QPvmbuvDvP87OCtRrYIC+75Bje7uC+698jPQBi/c1o/0YxWYm0wB/cAgVUg== yIbjvmtFuMN56vG719k4qbyeD4Eb9V6AU56YSy6mzFeEBA5o2rqLU8vSyT5Fqo4mVQUEojtFlrljTQl60GjqDQ==
104005 2188 2026-07-24T03:44:42.309Z 2026-07-24T03:44:38.753Z fffe9512f96325bce9d0a9bfe6d51f6f4470e2a62ce94bcb358e0b9a7b4e4e93 fffe9512f96325bce9d0a9bfe6d51f6f4470e2a62ce94bcb358e0b9a7b4e4e93 fffe9512f96325bce9d0a9bfe6d51f6f4470e2a62ce94bcb358e0b9a7b4e4e93 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 0255b05f4ae25038025a67474b3ffbe9d70fef85cad4b66f6594c4d6929ff290cc 03dae5c6ce9fe0f7d4a96f2009f75620d8cec810a381c120fa61baaacc2fdc6105 Lxg6mEs9fKCLTzk+7c8bPfNZdb7tJHv0leY5L8KFM2Rvi6jZsG1IXTCjpzlY1XGPSutJoVAxIiX7mlPC+GqQcw== fffe9512f96325bce9d0a9bfe6d51f6f4470e2a62ce94bcb358e0b9a7b4e4e93 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 TT/jxe1iSubhXuTRSSecHVxe27uO6jHxNOsPJIavHBgW/9lJ3ZP7rEg7DFgKR3ToHx7QzAO/gsyp2yI+bcNctA== eDZMvJzXlb++cXmvuXqWrve6qMN+vQ28czcix6TlW5d9XhjkNWwiLdhIp4vwPasudLzoeHNdaF6ijE6V1ilkJw==
104006 2188 2026-07-24T03:44:42.338Z 2026-07-24T03:44:41.176Z 570f94b8811e8fe59e4cf4f50b2f1396b2e14346e9a6c5a24b357bc105ce08b5 570f94b8811e8fe59e4cf4f50b2f1396b2e14346e9a6c5a24b357bc105ce08b5 570f94b8811e8fe59e4cf4f50b2f1396b2e14346e9a6c5a24b357bc105ce08b5 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 022230dca7d99076387c4752ec0fac22cbf27472118777d5acfa0e2cf62b69a881 0255c3247f592eca87ab02e23562803b0d646eef25c8515d87e2ee8edb0038bb9c 1VrqGPaURj11mSsYjjmzPfDkS8+BT5MDyOQplYJ4wBXaS/VtE6GNz04Zli8VgIjZYyYDb6mcnUCa1uFEOH73mQ== 570f94b8811e8fe59e4cf4f50b2f1396b2e14346e9a6c5a24b357bc105ce08b5 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 jOZBmMMdawQ4qMZ1exrm9J+oMgn9RBoL7ThBfBrZrHL6RKxBKMLn1bhVOOBYxc0VuET8cBxsPuzJzsb0PLh6TA== st3zYd3cUv9ScYpCXOLdBdt29grSKvwHuKr+5bkVjMGIbgw2ew5ouaXlzIIDXxxr6IlZSWafS8S82KiLtsAjog==
104007 2188 2026-07-24T03:44:42.554Z 2026-07-24T03:44:42.225Z 22acf63583fbbcc0193bd20c1b0e317253990a5ba9b2357c198788e0d6a81f94 22acf63583fbbcc0193bd20c1b0e317253990a5ba9b2357c198788e0d6a81f94 22acf63583fbbcc0193bd20c1b0e317253990a5ba9b2357c198788e0d6a81f94 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 02296415915a35cdc4c425e397cd149cf0533d015977dbf5b5135a171a031e496c 032ef5ab9e153c855724fcc78ff51a6332c2cc54afae6aa4bbc8d86dd6d81ccde5 gLdyPcRiPSELhkEAg68+fjWPgWAvd0EPb1pOFJvPTQWaqJTjXalZbRod3vd+vmPPTLHmHhWpb69tk19PSnkNLQ== 22acf63583fbbcc0193bd20c1b0e317253990a5ba9b2357c198788e0d6a81f94 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 nLvknePsAtevWGuRLQ7MUw/UoGq5RruE70wn7EqIjYYuMs1TQ+zV4TA7irco7hUybSntsTCyHmSUk9gyUOs0NA== nz1L3nbUJONw654FBSZVhgQo5EOfrqdoo7+9urLb1RM+f1ZT84w+eExyasM4Coozv2QzLfT8pk01Ky2bfppQAg==
104008 2188 2026-07-24T03:44:43.855Z 2026-07-24T03:44:43.638Z adf4fc1e90f88a7ead8d72af887726ce9a93dad45e84d98204ed5460f83cef85 adf4fc1e90f88a7ead8d72af887726ce9a93dad45e84d98204ed5460f83cef85 adf4fc1e90f88a7ead8d72af887726ce9a93dad45e84d98204ed5460f83cef85 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 0299f4bd4bf7fc09a7361b04a32bb5bc8decd78016dc30976661201822766448ca 0202ce5a7602f1299d2a95b2cdbac8952c23f208b0faad3fffce787be98b8f27cb 6zE0eDsBZzVV7ffvvsZp2ddc4rdIilWarCrkpi4IkYX532so0aEzUXRd12r7YFWgULKX6+uHycf1zVIdx5jwlw== adf4fc1e90f88a7ead8d72af887726ce9a93dad45e84d98204ed5460f83cef85 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 eznGYrFSLrFTp1T6L6MJp6YrS6w2guX+0M6UtpLy3eAn+rhGAumkORDwBjKc1CATGwlD273ULpktxHx/d8LDBw== KLtDxkOyheFn7pvCyCEGpX+ASyLd1G0Kb+O4UgLyPcSh5jPk3erRCDUPpxxgI9sPzh54AX68xIWOHuUG9QSjxw==
104009 2188 2026-07-24T03:44:44.552Z 2026-07-24T03:44:44.290Z 1ee9b0cbfd929597a6c2fcb5926ba185c0f12c1036cc3f471db28f3183c1e9bb 1ee9b0cbfd929597a6c2fcb5926ba185c0f12c1036cc3f471db28f3183c1e9bb 1ee9b0cbfd929597a6c2fcb5926ba185c0f12c1036cc3f471db28f3183c1e9bb 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 027fde2f4ac043c2676ec5e887bd491fa22e51ee452359a5171891de5cab0cdbb4 02ee3512324184fb233dfd503a38e619c94e95dc371a99fe8c0c90b497eb67edf1 dfpCS+o7EBSvap7kHPhRIlWTMkWidlR7AbyjyXKvLAxKEQJYoZDbNsBl2MaT2rlQqDH/zO0KHBWPGv8ksz4+5w== 1ee9b0cbfd929597a6c2fcb5926ba185c0f12c1036cc3f471db28f3183c1e9bb 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 9TpAIdiixLuOLQIM7hf7LiQ7uxsB59FDuzvJsFfUlJrm/IKIAkL4PJfhhuQB8cACptPJYKS7w/RRlpoqooVmOQ== ciQ1d0GC96IMJChioVVPYDbs9ospnWThioG9FSgNYhqJw46FmK1WiG8ZF+IG0VbLa5QA/CpJnRjOtPllV4XGww==
104010 2188 2026-07-24T03:44:47.508Z 2026-07-24T03:44:47.277Z b3835fa36218f2ea4cc3bf55ef775ccad80ff82a5bfc29b8432190de9b223401 b3835fa36218f2ea4cc3bf55ef775ccad80ff82a5bfc29b8432190de9b223401 b3835fa36218f2ea4cc3bf55ef775ccad80ff82a5bfc29b8432190de9b223401 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 0312d676186f57165136f1ab8f77076812ab085101c41ffdda89634d7afb1eb369 038738b457e3ac61dcd43f7ec8232975a6aef276a2307cc5c0cc0eb0c586dd16a3 45lnQzyfBsbl8ZK+wTmEmy40r+u7hiKTEzwuGtEM10kAC4EUcixajx+W9oMGYBPE/wqL6sgg/8FcuYIYx2qRBQ== b3835fa36218f2ea4cc3bf55ef775ccad80ff82a5bfc29b8432190de9b223401 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 jxIFZqG5JoUHPjnajwGFhCOftqmk1RifIhwM2YVffex1rlVbf7ebXtg24ZlQuRAoWeE3UIvXLCGHxIjAsNTRig== 6jFo0nUUsCtS/9nfAqSLVTeZTEQoMMnVtCQ//sfsDW3QtkQNEmPc6M6FRcgNizUs+6zY7Q6bdm0w0blUBkjNqQ==
104011 2188 2026-07-24T03:44:47.604Z 2026-07-24T03:44:47.278Z 66a6a06b654bd682c60d02d7bd877abf998a5ae036f22e31b61ea35cbce9d7fe 66a6a06b654bd682c60d02d7bd877abf998a5ae036f22e31b61ea35cbce9d7fe 66a6a06b654bd682c60d02d7bd877abf998a5ae036f22e31b61ea35cbce9d7fe 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 0315ce277eaf4acc06d0d827089c92bf07195987058b6373cba43254492173ac93 02340db6eccf0a775b1a7cc86a9e6147a6d214138a9b62680717f08f755069f504 Kx6TdAQxJOqWmF+dLDE865lWNzPqtYQ0q76yYQ0tRzGGVIfOtG2SOIoSMtnLT/FbLOwRnTYSyZc0E8EUNSyYdg== 66a6a06b654bd682c60d02d7bd877abf998a5ae036f22e31b61ea35cbce9d7fe 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 kGmKYjsF4HyEirV01dxwvTMpQeNAN1xvvjsss5pIqc7WHOhbkg8IZFxkFaVY22/9xz3q3YmmNHVbsKn8qt50Tg== NgwVqm/WbG1ypjHPFhm4/i7/CctXQJDoYdwPBkp7rpMMIZYs2GSGV7QtOd44cBKsgKrRHuWMg1VIA6SI0jdehw==
104012 2188 2026-07-24T03:44:52.536Z 2026-07-24T03:44:52.399Z f45b128594bf6f954451719ec176fac5c2c10227b6632d54bde325912b01845e f45b128594bf6f954451719ec176fac5c2c10227b6632d54bde325912b01845e f45b128594bf6f954451719ec176fac5c2c10227b6632d54bde325912b01845e 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 2187 02f0e4f7f1715c4074b24436f412c94df3c9885d595058c6626d96b87fafd8c6c0 025e5cfa8d76003f3f034056b514c095b1c29baf967c68d5f2313d702e04c0c7af CQwU/UWLmQxrmlNusJAS297HJZ9BIGovdAfxCshQmTee/8lLIt17N6F9uZxlTciXSQcSNiCpbLWLNuioaHlrJg== f45b128594bf6f954451719ec176fac5c2c10227b6632d54bde325912b01845e 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 wchvTCbIvXUYvby4MqeHti9IGGBVitkuVx+kjJN77fCzeUElsMcxq/hC6EpEg9kQtxIF8Nn6TN64lJrMZLGCFw== 2gMdk6JSjicPV4kKrnM6Q14YbnEtm0u8cIVi+3y0Z8bF4+Y9xT9sn1xjFe3lifS4VsRrUcup/SL2i3EdeySnCw==
