Block: 512
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
10803 512 2021-07-26T01:26:38.811Z 2021-07-26T01:26:38.529Z ebbf0d8fa91b4a97be685300fe8af6a114cab34bd5a4ecd6cdb86ace7dae8411 c2fc4ae36330ea891de8b302d7d85745ad2d1ee1d4084f2797dc02fd07e91d1e e7dbabccc48306ae6005031e40a65d3923e0ccb412cb294e7e0ec8182a8ac608 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME 2 025f7a4bbb650b8ada07832f7389e10f884facf8cebdbf49133463203ceeefbad2 03f27ee5a3408b4503a0e0efb9f286d9b714686d3290c39bd5f017113d279d44d9 A3FfCsAPXVYbTqjpfVGiSsV7Tg13liQg3Jilhtgn+XMSO7dbFKuMh7hmCgJ8uhhgD7OX19y2XHl2wUFdYD6jCg== c2fc4ae36330ea891de8b302d7d85745ad2d1ee1d4084f2797dc02fd07e91d1e rGS68vXPzUwJv72QI0OMX0Ux2iKvKQ229/WZBDtHzMTwMTS4c5H26ROXDk0ASjDVCAMjUs6rJQTCveql1VuMeA== c35CDo3uRjf7uUGXWHzSeY6L+y/sBPPpfMn+PRpZnU2H6Bs93HD7geSAgV+xxBulud7VKrBuAmvATXKgL7CeqQ== H8ZwoMgfYHcXCBFYQ1/bw5DLIx6J8in/NVeML2qSWGcC7t0vEhJvmv7THgbhmgXg44zgaH6Cz2rFEVcU0SeeHQ==
10804 512 2021-07-26T01:26:54.835Z 2021-07-26T01:26:53.894Z 2ef3d1aba3e35e935ff403b68d4bf907ad384c623808f2df62dceefb755b2d51 2ef3d1aba3e35e935ff403b68d4bf907ad384c623808f2df62dceefb755b2d51 2ef3d1aba3e35e935ff403b68d4bf907ad384c623808f2df62dceefb755b2d51 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 511 0308306848c228a1c47a83eb9debb32d776f171d12c36a51b71e11e9799b885761 021a66fa1afd96c6cb3bd7376159f6c683f0bd06bf82ccd11c15d6b4eed44cf77c +zcRNq7zYEwMrueaHKdlas1bYFtbjiS/jX9gGwwv/rl3OMGASEiq81kUvemZIi/p98b1z9w0yN7yEKHvWuRlrw== 2ef3d1aba3e35e935ff403b68d4bf907ad384c623808f2df62dceefb755b2d51 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 AfBgVHrImOzIjoYoHBT6oQhpMZqWSO1gKMQ8/BebzYDPiRSbO6Q1beWzht2i2qdBw+t6PR+BJbcQgzJPTC/kVA== aX9Q9nz1VZtIIxinaEVr/IFnSYcDLbE9kyJaauAnG5eo13Gr8nRdbV8y2/aKSgMh+8G2zuS66RV1kCiuPJ/Dvg==
10805 512 2021-07-26T01:26:58.771Z 2021-07-26T01:26:58.686Z 59f3f052126463101fc2b8cb2b0b74316f886e271691087f2fe2d8eca89d8c12 59f3f052126463101fc2b8cb2b0b74316f886e271691087f2fe2d8eca89d8c12 59f3f052126463101fc2b8cb2b0b74316f886e271691087f2fe2d8eca89d8c12 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 511 03a0c295559d19cd215bab67b958d6bea6f46e85c13bbab6ae436e285c66bc989d 02d5907a43f94a95d29b24e9efb976b463567f6174ace7c89e3c6799cb2656e084 JOtwtgzZreOA6TyBgBTRhBY11vDJk6Bz1IdbdTkY8FdGW4AguGViFG9YeioBmfMVjnxqoZuEvFoyippFD9PNxg== 59f3f052126463101fc2b8cb2b0b74316f886e271691087f2fe2d8eca89d8c12 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 JULLALSePjrr7xW0pHfoHjQWm8D0ugImfJZTy4w2BJ3zkRngp+5tykgzoQb/HHqXtGNzVP5oMdQEVmmfxWdmpw== DS/12I1FeiJaPOse3/tvrANCwEyoXXnJ2QU0FeV2Gp7CdxDM6v5nJNA1/5Ae8BOlWx66uu5uUxXniTLlpXcS3Q==
10806 512 2021-07-26T01:27:05.963Z 2021-07-26T01:27:05.723Z d14a9bf58f3d89be4c48726256bb84db2037d61ba6e3cdcc4b819c5fee6b237a d14a9bf58f3d89be4c48726256bb84db2037d61ba6e3cdcc4b819c5fee6b237a d14a9bf58f3d89be4c48726256bb84db2037d61ba6e3cdcc4b819c5fee6b237a 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 511 038179e02e0130dbf55be3e0bf80262b23ee99e4aa388346582bd8c4b50f2e9a7a 03900d7c82300168e9eaf082b5d96b710c9c02b60ce7930e221b90e2593e9e1de6 QWVHvs0swQtEU2oF4TTcSCgRlgIQR6PLM5WJIVuSHQ473QiljsOIrlCc4VvFTAQdLReckSW5U/6tVNnYH3SAwQ== d14a9bf58f3d89be4c48726256bb84db2037d61ba6e3cdcc4b819c5fee6b237a 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ugQRi2anb2thgfVZi8PM8s1MFr+h0MjLydt0+4DF0XQpLqFf9ScOw2Lh3TvEKadwilqYYIxbfGTc4BscdmBgJQ== 1GSh5gCa6Zlwo2F/roNV71/gbtb6Y9/lAzS2s8GdEYLSEE+g4reRzgEKusBT2imgqIRNmzxxYl/Cj48C/KJGDw==
10807 512 2021-07-26T01:27:12.008Z 2021-07-26T01:27:11.788Z 97b8e736fe2eb17bf2b2d672f409d25503a8fe78066803c6d07f46aa4e73f1d4 97b8e736fe2eb17bf2b2d672f409d25503a8fe78066803c6d07f46aa4e73f1d4 97b8e736fe2eb17bf2b2d672f409d25503a8fe78066803c6d07f46aa4e73f1d4 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 511 0255b05f4ae25038025a67474b3ffbe9d70fef85cad4b66f6594c4d6929ff290cc 032f761ca4c4ca92a2601d0469956f134bb8bfed009393325ea4fd004d7111c55b zz8OLe6+dmdni7deUum9qbmkwUEUVdQ9iQeoQW79StysIAXeR5soyJozt3NnsOkg5P8/1JtdQWOaJ7Nwzd322w== 97b8e736fe2eb17bf2b2d672f409d25503a8fe78066803c6d07f46aa4e73f1d4 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 KWDcCBg2LfPgYw3b+WZWzNjNllmGommkRCIcMZW4DoOUADrSlESvEIoS12Lgdn8vXLtC31PIv9T3bQGhqJ4Xlg== jJXelItRXJiW7lWXFSu12aXzcjZTIjfwhTs6sPHnpKtjDH38q1hNFKwMMyD4N8pk9+TSl/knxg+6MMKdVD1ZaA==
10808 512 2021-07-26T01:27:22.900Z 2021-07-26T01:27:22.653Z 722d6faba083b9a7c5549772fef45acebe312bc80e41653d25f1dbfdfa80c3a5 722d6faba083b9a7c5549772fef45acebe312bc80e41653d25f1dbfdfa80c3a5 722d6faba083b9a7c5549772fef45acebe312bc80e41653d25f1dbfdfa80c3a5 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 511 02f0e4f7f1715c4074b24436f412c94df3c9885d595058c6626d96b87fafd8c6c0 0311a90cb72a527f7a1cbcf22cc8ca972867ebd834684d75a54e368eb372a06ff1 m+P3okRBHQhR7oKGbXdQ5V+ynoCJ9PSRgs4wV+tnVh7ctNdXDKAXWfnwdOGaXURYNToCKXA2rKYMntcgG24dDA== 722d6faba083b9a7c5549772fef45acebe312bc80e41653d25f1dbfdfa80c3a5 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 UCICQZbJ00ViKvlT/h/W58T85a9wK7fhbwpFXrhTti7oqZNYmKT/CDPx4sSSwjtvH9Vi8RUnrTtvBayb4dOOeg== M7pkADH5+wm9xR+gcwlLDG/hEsk1ThCgWn0JD4V2g+R8dQDhrfNhd9DcnXsPsZAVTnVdcKtMYbGjRb26yws+hg==
10809 512 2021-07-26T01:37:55.374Z 2021-07-26T01:37:55.141Z 32117a9c3c8ece010e4ceb6e95244ef8cf833f921b89026a21d9b6120d05cfc2 32117a9c3c8ece010e4ceb6e95244ef8cf833f921b89026a21d9b6120d05cfc2 32117a9c3c8ece010e4ceb6e95244ef8cf833f921b89026a21d9b6120d05cfc2 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT 511 03c779c2e4b5c937049f68cc3dec88504e0057ec3688c0f52f535ad768b12ca958 03b52624ef1721e6c998d6ac570ee7c9743cfe4127e3387c973e4b1cb19ca96565 DT1nUbScS14j4XRuJX6Gb5/E3cZpvnbPAvIGmBHi00nKOhQ8KdVPbYgXtgbIrTbYaID+Qo67S2ayoJU5VKObLw== 32117a9c3c8ece010e4ceb6e95244ef8cf833f921b89026a21d9b6120d05cfc2 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 epkru7ly0blr4S8Bs9CJFDhBceGXAxVZEd7yd0wIhwWhmUG67AgkFgGWkhaTCaBiOIMEjLbZJNDm4fMsfFBH9w== 8yadRxRMgCscGW5f3Eyz1uyPd5JOY1ovTHCMKzbjiLhsoC+yt+DW6ayEyqtQznzFLw/5sH+GwS+wXggpnDps0g==
10810 512 2021-07-26T03:21:10.569Z 2021-07-26T03:21:10.310Z d79d3dbf74b23fea8f8b98b2fed2ec9f54fda0b8db2b2c4cc8a4d3ab647cf130 61d9617c97fa8a727e5b05f9c9e6c16f078a47ac6c2392b4a4a22efefb93b305 0fdf772003b3de535a5c2633c4329eb32e9ce42cd27b58f0d194bcda24ccb47a 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME 6 0258e73a9d26428fece05f7d25f5d591166717edcc77b0dc027b481dc250c87c76 02cbe766d74ed4e2134862d1530efe64dcda85225d6a416632b78eb4b94c247daf L/c1A6gNJ2z7i/82OD04QWMsSDlc6BHM72boQQkh194cBPrI7QXMfsScA5RtNvWGQp76bL/XFPQtnuo6pazJGQ== 61d9617c97fa8a727e5b05f9c9e6c16f078a47ac6c2392b4a4a22efefb93b305 pCiSDv9al4FCJoCru9AyLogxIJzDX59vMlD/ezg/LnEyn9dFnzelddDwCGvJ5q4x9yP9z0o+4wYiFZeNQ4Nhww== 00iJyLz3t8xXWmgnk3knNoYNLB0FHcmDVTYYwXY9uHLwwCqsuG3m3KEwhbgKB0O2mj6Uj93+Dt258ijEmrBk0A== K2GpacpIvLwsDdn8kyBM6xTsEuXDDe6Bcfl02qB/voOCsUYWfzjC91e9x+H4LFfdHWaWLa1vs1F5Op+dhzimWA==
10811 512 2021-07-26T05:08:56.677Z 2021-07-26T05:08:56.465Z 944055a2c6977b42f1fad2b3a7851d8d2abd98f01ef7279d2b29bfce1a7c9708 51b1838cede9c7b274a6ac72bc8147c81623e6762d56dc92dd7f60d554c8b812 ede0db0010e7ef16f51dbbd394c6bbab232c17b62f80867b472b18306be317e1 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 AME 3 02f2a83f920aa016d9b28c40a172c5625a02152cf7041da8e8c99d2e6bfaf8f90a 02a65477d52d71397466c6f3d689e1c66e408712976c19cbe829228ce5defaefa3 2Y2ZTBbqnBwo3EALyOcTO1v9l/2mwsAj4yGdNLhxPODqUpL2ZXhEYAYITrNv0EArIp+035TH+ORzQheOwil/kQ== 51b1838cede9c7b274a6ac72bc8147c81623e6762d56dc92dd7f60d554c8b812 GwU44N3w2dr6m86FIeECV8WPr1eGcfZmMwWK9qgoM8ArJx/BguR/PwMaKqFAP2Zq3VwnvT89WpOpIAN8YDhETw== /3pyzx49wlOCnrCktOVjmHoxyfGXYzdWg/OUCWFF3Yl+iqDnx5wAjtpHCyIV5qUF1Fl67bPfr+oZUfM1JfY4uw== vgDXqm1EbOx6CdrdqLpoLW0JOHqpdnAJ00Sx72PHXfE5TcVLLAszJ8qOpYw836c31Q2JNBDrmbdD4LKybdo+Vw==
10812 512 2021-07-26T06:36:24.981Z 2021-07-26T06:36:24.676Z 70a325471a910d319cd19dd59416e1b4e1e7e7cbaf936b4f143c1ce6ce7be7f7 0de76feb148b527bcc15efb3b6b665c0489b90e6cd82eeeb04859d03dc16f11a d820859b88f46e105d0696f14d4d3cd9cb1f6acd88a7971412ceb0aa6b2f057f 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 CRE 1 0251b79599925eab9a07a764b36c55eadcbeaa5474db5476554a34eacf1b86e6ee 03063cbd54c559d627d58239748c0310563a4070da0b30fd50a5b25bc0c8baa1f4 x2hYUDtCHsOU7djbZqM+xBmwsBcPHog1okViJhARkykioDhcuLWRpTapK+t51mkGKbYIlJne8wJ5MYiSuhjYhw== 0de76feb148b527bcc15efb3b6b665c0489b90e6cd82eeeb04859d03dc16f11a 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 8dTE/kj81ldhwEPYZyS+DuAaZH3andCcuSRDwGUPKiWfM/7uobbgr8fxI+RJEMUxvwOub1/F2Snziwv8PBo+Ag== 42FFV0c5Ei5EM0nsNbWsPTvZhlrjmMRvh2udgHN9JJB/FqVy5srTDDESJB1Pr+niXQkSnmFfErkmsP90ryzPLA==
